20201_BMSE.html,BMSE    199,L&S,1.0 - 5.0,Optional,N/A,N/A,N/A,0 / 5
20201_AS AM.html,AS AM     4,L&S,4.0,Optional,M W,9:30 am - 10:45am,TD-W 1701,150 / 150
20201_AS AM.html,AS AM     4,L&S,4.0,Optional,W,12:00pm - 12:50pm,ARTS 1356,25 / 25
20201_AS AM.html,AS AM     4,L&S,4.0,Optional,W,1:00pm - 1:50pm,TD-W 2600,25 / 25
20201_AS AM.html,AS AM     4,L&S,4.0,Optional,W,2:00pm - 2:50pm,HSSB 5024,25 / 25
20201_AS AM.html,AS AM     4,L&S,4.0,Optional,W,3:00pm - 3:50pm,GIRV 1119,25 / 25
20201_AS AM.html,AS AM     4,L&S,4.0,Optional,W,4:00pm - 4:50pm,ARTS 1353,25 / 25
20201_AS AM.html,AS AM     4,L&S,4.0,Optional,W,5:00pm - 5:50pm,HSSB 5024,25 / 25
20201_AS AM.html,AS AM     9,L&S,4.0,Optional,M W,2:00pm - 3:15pm,GIRV 1004,206 / 206
20201_AS AM.html,AS AM     9,L&S,4.0,Optional,W,5:00pm - 5:50pm,HSSB 1236,23 / 23
20201_AS AM.html,AS AM     9,L&S,4.0,Optional,W,6:00pm - 6:50pm,HSSB 1210,23 / 23
20201_AS AM.html,AS AM     9,L&S,4.0,Optional,W,7:00pm - 7:50pm,HSSB 3202,23 / 23
20201_AS AM.html,AS AM     9,L&S,4.0,Optional,R,3:00pm - 3:50pm,GIRV 2120,23 / 23
20201_AS AM.html,AS AM     9,L&S,4.0,Optional,R,4:00pm - 4:50pm,GIRV 2123,23 / 23
20201_AS AM.html,AS AM     9,L&S,4.0,Optional,R,5:00pm - 5:50pm,HSSB 1236,23 / 23
20201_AS AM.html,AS AM     9,L&S,4.0,Optional,F,9:00 am - 9:50 am,HSSB 5024,23 / 23
20201_AS AM.html,AS AM     9,L&S,4.0,Optional,F,10:00am - 10:50am,HSSB 1231,23 / 23
20201_AS AM.html,AS AM     9,L&S,4.0,Optional,F,11:00am - 11:50am,HSSB 1232,22 / 22
20201_AS AM.html,AS AM   100BB,L&S,4.0,Optional,T R,12:30pm - 1:45pm,GIRV 1112,45 / 45
20201_AS AM.html,AS AM   100CC,L&S,4.0,Optional,T R,9:30 am - 10:45am,PHELP1508,45 / 45
20201_AS AM.html,AS AM   100DD,L&S,4.0,Optional,M W,2:00pm - 3:15pm,GIRV 1112,45 / 45
20201_AS AM.html,AS AM   100FF,L&S,4.0,Optional,M W,12:30pm - 1:45pm,PHELP2536,45 / 45
20201_AS AM.html,AS AM   110,L&S,4.0,Optional,T R,11:00am - 12:15pm,PHELP2524,45 / 45
