,Year,Quarter,Subject,ID,College,MinUnit,Unit,PassNP,Letter,Monday,Tuesday,Wednesday,Thursday,Friday,StartTime,EndTime,Building,CurEnroll,MaxEnroll,RatioEnroll
0,,2,ASTRO,1,L&S,,4.0,1,1,0,1,0,1,0,930.0,1005.0,BRDA,168,168,1.0
1,,2,ASTRO,1,L&S,,4.0,1,1,0,1,0,0,0,1020.0,1070.0,GIRV,42,42,1.0
2,,2,ASTRO,1,L&S,,4.0,1,1,0,0,1,0,0,1020.0,1070.0,NH,42,42,1.0
3,,2,ASTRO,1,L&S,,4.0,1,1,0,0,1,0,0,1080.0,1130.0,GIRV,42,42,1.0
4,,2,ASTRO,1,L&S,,4.0,1,1,0,0,0,0,1,840.0,890.0,,42,42,1.0
5,,2,ASTRO,1H,L&S,,1.0,1,1,0,0,1,0,0,840.0,915.0,GIRV,0,30,0.0
6,,2,ASTRO,2,L&S,,4.0,1,1,0,1,0,1,0,840.0,915.0,BRDA,56,94,0.5957446808510638
7,,2,ASTRO,2,L&S,,4.0,1,1,1,0,0,0,0,1080.0,1130.0,NH,24,42,0.5714285714285714
8,,2,ASTRO,2,L&S,,4.0,1,1,0,0,0,1,0,1020.0,1070.0,GIRV,32,42,0.7619047619047619
9,,2,CH ST,1C,L&S,,4.0,1,1,1,0,1,0,0,570.0,645.0,NH,120,120,1.0
10,,2,CH ST,1C,L&S,,4.0,1,1,0,0,1,0,0,840.0,890.0,HSSB,20,20,1.0
11,,2,CH ST,1C,L&S,,4.0,1,1,0,0,1,0,0,900.0,950.0,HSSB,20,20,1.0
12,,2,CH ST,1C,L&S,,4.0,1,1,0,0,1,0,0,960.0,1010.0,HSSB,20,20,1.0
13,,2,CH ST,1C,L&S,,4.0,1,1,0,0,0,1,0,780.0,830.0,HSSB,20,20,1.0
14,,2,CH ST,1C,L&S,,4.0,1,1,0,0,0,0,1,720.0,770.0,GIRV,20,20,1.0
15,,2,CH ST,1C,L&S,,4.0,1,1,0,0,0,0,1,840.0,890.0,SH,20,20,1.0
16,,2,CH ST,99,L&S,1.0,4.0,1,1,0,0,0,0,0,,,nan,0,10,0.0
17,,2,CH ST,125B,L&S,,4.0,1,1,1,0,0,0,0,900.0,1070.0,GIRV,35,35,1.0
18,,2,CH ST,131,L&S,,4.0,1,1,0,1,0,1,0,1020.0,1095.0,GIRV,29,35,0.8285714285714286
19,,2,CH ST,156,L&S,,4.0,1,1,1,0,1,0,0,660.0,735.0,SH,30,35,0.8571428571428571
20,,2,CH ST,165,L&S,,4.0,1,1,0,1,0,1,0,750.0,825.0,GIRV,40,35,1.1428571428571428
21,,2,CH ST,168GQ,L&S,,4.0,0,1,0,0,1,0,1,840.0,915.0,GIRV,25,35,0.7142857142857143
22,,2,CH ST,187,L&S,,4.0,1,1,0,1,0,1,0,750.0,825.0,EMBARHALL,100,100,1.0
23,,2,CH ST,187,L&S,,4.0,1,1,0,0,0,1,0,960.0,1010.0,SH,25,25,1.0
24,,2,CH ST,187,L&S,,4.0,1,1,0,0,0,1,0,1020.0,1070.0,SH,25,25,1.0
25,,2,CH ST,187,L&S,,4.0,1,1,0,0,0,0,1,540.0,590.0,HSSB,25,25,1.0
26,,2,CH ST,187,L&S,,4.0,1,1,0,0,0,0,1,600.0,650.0,HSSB,25,25,1.0
27,,2,CH ST,191N,L&S,,4.0,1,1,0,1,0,1,0,570.0,645.0,PHELP,35,35,1.0
28,,2,CH ST,191NL,L&S,,4.0,1,1,0,0,0,1,0,840.0,950.0,NH,0,35,0.0
29,,2,CH ST,193,L&S,,4.0,0,1,1,0,1,0,0,750.0,825.0,HSSB,8,25,0.32
